,0,1,2,3,4,5,6,y_step_1,y_step_2,y_step_3
2018-06-12,0.20695300035996655,0.06648335857072732,0.11513043478260873,0.6491403121700614,1.0,0.6416887978251133,0.7669651144255264,1500.0,1500.0,1500.0
2018-06-13,0.2272646152959786,-0.04505216511755177,0.006396135265700486,0.6812274880242057,1.0,0.6449812683237445,0.7641983796838973,1500.0,1500.0,1500.0
2018-06-14,0.19070279337926457,-0.04756459171467747,0.0,0.6451419152431299,1.0,0.6482618097757123,0.7614175109532997,1500.0,1500.0,559.0
2018-06-15,0.15959364894536512,-0.044228886774966135,0.0,0.6138544449897836,1.0,0.6515303615068019,0.7586225596664101,1500.0,559.0,559.0
2018-06-16,0.15708397459975812,0.013935411626561794,0.05756521739130438,0.6051579042663207,0.37266666666666665,0.6547868630645506,0.7558135775163645,559.0,559.0,1500.0
2018-06-17,0.18336307474111557,-0.030695585031212613,0.015990338164251213,0.6360455455514966,0.37266666666666665,0.6580312542193656,0.7529906164558019,559.0,1500.0,1500.0
2018-06-18,0.17735686912954435,-0.03326796423545551,0.012792270531400972,0.6303478263556599,1.0,0.6612634749656385,0.7501537286959042,1500.0,1500.0,1500.0
2018-06-19,0.15371581369122456,-0.03716583120232249,0.006396135265700486,0.6072570852936678,1.0,0.6644834655228549,0.74730296670543,1500.0,1500.0,559.0
2018-06-20,0.11566313888877928,-0.03951839980830726,0.0,0.5696721136649785,1.0,0.6676911663366993,0.7444383832097443,1500.0,559.0,559.0
2018-06-21,0.08982164147615881,-0.03674752288007889,0.0,0.5436824859747276,0.37266666666666665,0.6708865180801583,0.7415600311898433,559.0,559.0,559.0
2018-06-22,0.10135093222841765,-0.03798376106063683,0.0,0.5552778656618784,0.37266666666666665,0.6740694616546162,0.7386679638813748,559.0,559.0,559.0
2018-06-23,0.11914178969793575,-0.03989140115240689,0.0,0.5731707050179011,0.37266666666666665,0.6772399381909485,0.7357622347736531,559.0,559.0,539.0
2018-06-24,0.14045409796962363,-0.03896023205471529,0.003198067632850243,0.5942622654905563,0.37266666666666665,0.6803978890506113,0.7328428976086704,559.0,539.0,539.0
2018-06-25,0.18156298355993694,0.020959828101582055,0.0671594202898551,0.6287484866505793,0.35933333333333334,0.683543255826725,0.7299100063801018,539.0,539.0,539.0
2018-06-26,0.16720527692985193,-0.02574665137500075,0.019188405797101456,0.619452211412181,0.35933333333333334,0.6866759803451553,0.726963615332308,539.0,539.0,539.0
2018-06-27,0.18086315722437876,-0.04650952821087218,0.0,0.63524587569907,0.35933333333333334,0.6897960046655885,0.7240037789593307,539.0,539.0,539.0
2018-06-28,0.19080219423497244,-0.04757525005747121,0.0,0.6452418858907549,0.35933333333333334,0.6929032710826036,0.7210305520038857,539.0,539.0,539.0
2018-06-29,0.19810047471708422,-0.04514141469963003,0.003198067632850243,0.6522390864710133,0.35933333333333334,0.695997722126739,0.7180439894563497,539.0,539.0,539.0
2018-06-30,0.17599304846094485,-0.04598732658319207,0.0,0.6303478501879454,0.35933333333333334,0.6990793005655562,0.7150441465537444,539.0,539.0,1200.0
2018-07-01,0.18582022780991136,-0.018093456196465473,0.028782608695652183,0.6371451213890396,0.35933333333333334,0.7021479494046975,0.7120310787787134,539.0,1200.0,1200.0
2018-07-02,0.15297728472152458,-0.040303041594142004,0.003198067632850243,0.6068572384513118,0.7999999999999999,0.705203611888941,0.7090048418584968,1200.0,1200.0,539.0
2018-07-03,0.10284178511414889,-0.03814361905177777,0.0,0.5567772645094919,0.7999999999999999,0.7082462315032491,0.7059654917639007,1200.0,539.0,560.0
2018-07-04,0.055532025104001397,-0.03307078908380087,0.0,0.5091963124792755,0.35933333333333334,0.7112757519738152,0.7029130847082615,539.0,560.0,560.0
2018-07-05,0.06248934449485051,-0.03381679367767571,0.0,0.5161935130595339,0.3733333333333333,0.7142921172691035,0.6998476771464068,560.0,560.0,560.0
2018-07-06,0.07381983057351006,-0.03503171485502349,0.0,0.5275889484722711,0.3733333333333333,0.7172952716008851,0.696769325773611,560.0,560.0,560.0
